# PGA460 Echo Data Dump
# Date           : 2026-03-27 11:04:51
# P1_REC         : 0
# Record time    : 4.096 ms
# FS_EDD         : 31250.0 Hz
# Sample period  : 32.00 us
# Speed of sound : 343.0 m/s
# BLANK_SAMPLES  : 16
# ECHO_THRESHOLD : 15
# First echo     : sample 20 -> 11.0 cm
# Index, Amplitude
0, 26
1, -124
2, -74
3, -119
4, -9
5, -128
6, 63
7, -78
8, -21
9, 10
10, 118
11, 19
12, -14
13, 13
14, 127
15, -110
16, 19
17, 65
18, -10
19, -61
20, 124
21, -61
22, -8
23, 19
24, 49
25, -128
26, 82
27, -61
28, 58
29, -123
30, -45
31, -16
32, 69
33, -115
34, 79
35, -61
36, -121
37, 64
38, 82
39, -95
40, -55
41, 24
42, 33
43, -57
44, 127
45, 40
46, -18
47, 43
48, 120
49, 24
50, 55
51, -120
52, 90
53, -60
54, 63
55, -74
56, 125
57, -85
58, 9
59, -126
60, -2
61, -112
62, -47
63, -32
64, 31
65, -108
66, 59
67, -86
68, -17
69, -15
70, -49
71, 36
72, 107
73, -119
74, -65
75, 36
76, -25
77, 8
78, 63
79, -112
80, -36
81, -23
82, 51
83, -60
84, -5
85, -4
86, 105
87, 20
88, 39
89, -24
90, -73
91, -109
92, 37
93, -119
94, 49
95, -64
96, 113
97, -120
98, -71
99, 36
100, 120
101, -74
102, 122
103, -33
104, -113
105, -63
106, 32
107, -31
108, 118
109, -122
110, 90
111, 105
112, 117
113, 22
114, 43
115, 104
116, -65
117, -111
118, 111
119, -30
120, 111
121, 9
122, 43
123, -45
124, -102
125, 46
126, -100
127, 96
