# PGA460-Q1 Ring-Down in Air
# Date          : 2026-03-27 12:12:56
# P1_REC        : 0
# Record time   : 4.096 ms
# Sample period : 32.0 us
# FS_EDD        : 31250 Hz
# Noise floor   : 10
# TVG           : disabled
#
# GAIN_INIT=0 (58.5 dB) -> ring-down ends sample None
# idx, amplitude
62, -47
63, -64
64, 31
65, -76
66, 59
67, -86
68, -17
69, -41
70, -49
71, 36
72, 107
73, -119
74, -65
75, 4
76, -25
77, 8
78, 63
79, -112
80, -108
81, -23
82, 19
83, -28
84, -69
85, -4
86, 121
87, 86
88, 39
89, -24
90, -9
91, -109
92, 37
93, -119
94, 49
95, -55
96, 53
97, -116
98, -71
99, 34
100, -8
101, -90
102, 122
103, -97
104, -49
105, -63
106, 32
107, -31
108, 118
109, -122
110, 88
111, 104
112, 125
113, 18
114, 43
115, 96
116, -67
117, -111
118, 111
119, -62
120, 103
121, 17
122, 43
123, -45
124, -102
125, 46
126, -100
127, 96

# GAIN_INIT=63 (90.0 dB) -> ring-down ends sample None
# idx, amplitude
0, 26
1, -116
2, -74
3, -119
4, -9
5, -128
6, 63
7, -78
8, -21
9, 14
10, 118
11, 19
12, -14
13, 13
14, -1
15, -109
16, 19
17, 97
18, -10
19, -31
20, 92
21, -61
22, -8
23, 19
24, 49
25, -128
26, 86
27, -63
28, 58
29, -59
30, -45
31, -16
32, 65
33, -51
34, 79
35, -61
36, -121
37, 64
38, 82
39, -127
40, -56
41, 24
42, 33
43, -61
44, 127
45, 40
46, -18
47, 11
48, 120
49, 24
50, 49
51, -104
52, 82
53, -60
54, 61
55, 52
56, 124
57, -85
58, 0
59, -126
60, -2
61, -112
62, -47
63, -64
64, 31
65, -76
66, 59
67, -86
68, -17
69, -41
70, -49
71, 36
72, 107
73, -119
74, -65
75, 4
76, -25
77, 8
78, 63
79, -112
80, -108
81, -23
82, 19
83, -28
84, -69
85, -4
86, 121
87, 86
88, 39
89, -24
90, -9
91, -109
92, 37
93, -119
94, 49
95, -55
96, 53
97, -116
98, -71
99, 34
100, -8
101, -90
102, 122
103, -97
104, -49
105, -63
106, 32
107, -31
108, 118
109, -122
110, 88
111, 104
112, 125
113, 18
114, 43
115, 96
116, -67
117, -111
118, 111
119, -62
120, 103
121, 17
122, 43
123, -45
124, -102
125, 46
126, -100
127, 96

